text,target
"上，重水之力尽展，水之极意，乃是水滴石穿，于异要的，便是要将这白玉棒磨碎！

    白玉棒的威势虽然不如阴阳百豹阵，但是白玉棒与阴阳百豹阵的本质，却是大不相同。

    白玉棒乃是白玉仙子的本命法宝，本命法宝的神异，甚至还在阴阳百豹阵之上。

    白玉仙子此时将白玉棒祭出，显然已经做好了与于异生死一搏的准备，以她的本命法宝，祭出最强杀招，全力攻击于异，若是于异不能挡过这一招，今日恐怕当真要陨落在这青牛山中了。

    于异以重水之力对向白玉仙子的白玉棒，重水之矛对向白玉棒的一瞬间，两者便交上了锋，两股气势几乎同时达到最高，两者的攻击，在半空之中纠缠在了一起。

    重水之矛对向白玉棒，本应该占据上风的重水之力，在白玉棒的攻击之下，却开始出现了不稳之势。

    这是于异以重水之力祭出攻击以来，首次出现如此局势，于异自然大惊。

    紧接着，在于异的惊骇之中，他体内的水灵力，开始不受控制的流失，水灵力流失的方向，正是于异那根重水之矛所在的方向。

    不止于异的水灵力，白玉仙子的灵力，也开始同样流失，灵力流失的方向，一样也是重水之矛所在的方向。

    灵力不受控制的流失，于异与白玉仙子两人皆是大惊失色，于异一惊之下，急忙收了灵力的输出，白玉仙子也是如此。

    然而，两人一收灵力，异变更加猛烈，一股极为强大的灵力，自重水之矛上，向着两人疯狂的抽取而去。",1
"鸣并不奇怪，而且方端鸣认为这是刀雄伟有求于自己的表现。
“刀处长来了？”方端鸣笑着主动打招呼。
刀雄伟跨进办公室，很自然地来到方端鸣桌前，方端鸣赶紧让出半边椅子，表示让刀雄伟坐下来。
刀雄伟就势坐下来，用胳膊肘拍了拍方端鸣的肩，一副十分随便的样子，仿佛是多年的哥们儿。
“方厅，你的办公室还真不错啊！”刀雄伟说着四下里打量着办公室，好像真为方厅的环境感到自豪。
其实，刀雄伟的办公室不比方端鸣的办公室差。刀雄伟也是厅领导之一，他自然知道方厅办公室的规格，甚至方厅这个职务的“性价比”都高过他自己的职务。可是，他却表现得那样惊奇。
在方端鸣看来，刀雄伟的话显然有奉承的成分。
方端鸣笑了。
“我这儿怎么比得上刀处长你的办公室啊？你那么大的领导，办公室也比我的办公室大得多啊！”方端鸣说。
“哎，都是什么话呀！你是厅领导，你的办公室怎么也要比我的办公室好嘛！何况，你这个办公室也装修得挺好的，看着很舒服啊！”
“装修得一般吧。现在领导办公室装修得好的多得是，比这个好的多得是！”
“是，是！”
刀雄伟说话的时候，眼睛还是四下里打量着。
方端鸣看着刀雄伟的神态，忽然觉得很好玩，觉得有点像演戏，而且戏演得有点假。
但是，方端鸣又感觉不出来刀雄伟有什么特别的目的，刀雄伟也不像是来送礼的。方端鸣想，自己这么一个新任职的厅级干部，一个临时性的职务，刀雄伟犯不着来跟自己拉关系啊！
“方厅，最近的工作还顺利吧？”刀雄伟问道。
“还好吧，刚开始嘛，还顺利不了！不过领导和同志们很关照，工作还是可以的。”
“方厅，我想跟你说个事儿。我是这样想，厅党组让你这个年轻人来挂职锻炼，主要是让你来我们厅里多学点东西，所以我想，让你到我们保卫处来当个副处长，怎么样？这个职务不是我提出来的，是厅党组集体研究决定的。当然，现在还是我提出来跟你商量一下。”
方端鸣听到刀雄伟说的这番话，心里先是一怔，紧接着一惊！
这都是什么乱七八糟的事儿啊？让方端鸣到保卫处当副处长？这刀雄伟是想干什么呢？难道他不知道方端鸣现在在干什么吗？
方端鸣赶紧站了起来，双手摇着，说：“不，不，刀处长，这可不行啊！”
刀雄伟看着站起身的方端鸣，脸上仍然带着微笑，但是那种微笑开始变得有点冷。
“这个职务不是我提出来的，是厅党组研究决定的。当然，只是研究的动议而已，最后任命的决定还得是党组集体决定。方厅你有什么想法？可以跟领导说嘛！”
刀雄伟说话的时候，脸色已经有些变化。
方端鸣赶紧说道：“不是，刀处长，你说的这个职务，我不能接受。”
“为什么？”
“这个，这个……”方端鸣心里一阵慌乱，心想，我该怎么解释呢？难道把事情全都告诉刀雄伟吗？说你刀雄伟在跟厅长对着干，我可不能跟你这个“不安定因素”混在一起啊！
这当然不能说。
但又该怎么说呢？
方端鸣一时没有主意，只是反复摇着手，支支吾吾地说：“我，我，我不太合适。我……”
“不太合适？那你怎么个不太合适法儿啊？方厅，你可得把话说明白喽，说不清楚可不成啊！”刀雄伟的语气中，明显地带有威胁的意味儿。
方端鸣心里清楚，刀雄伟这个人脾气不好，要是惹得刀雄伟不高兴，这个家伙很可能做出什么事情来。
方端鸣不敢把事情的原委全部说出来，可是不说又行不通。
正在焦急的时候，方端鸣看到了桌子上放着的那份通知。这是一份由省纪委办公厅下发的通知，通知决定对省司法厅的几项腐败问题进行调查。这其实是在为下一步的反腐败做准备。通知上写得很清楚，方端鸣作为挂职锻炼的厅领导，在这个案件的调查处理中承担着一定的任务。
方端鸣看到了那张通知，心里马上有了主意。他把通知拿了起来，翻开其中",1
"夺理，强人所难。未免也太让人难堪了。若相公与我，也是如此。想必我也不会高兴。”
“不高兴，你便走啊，我从未拦过你。”徐福在一旁说道。
“那为何我走了，相公你便要不开心呢？”莫愁歪着头看着徐福。
“我开心你走了，我开心你和我在一起。这是我的事，关你何事？”
“既然不关我的事，那我走就是了。”莫愁说着便要走，被徐福一把抓住。
“你不要走。留下来，就当陪我。”
“相公说不关我的事，那就不管我的事咯。”莫愁笑着看着徐福：“相公说要开心，那我走就是了。”
“你走了，我也开心。你留下，我也开心。我不会让你不开心，不会强人所难的。你留不留下，看你自己了。只是我有点担心，我不会做饭。”徐福笑嘻嘻的说道：“你若是留下来，恐怕就要天天挨饿了。”
“无妨，反正相公也不需要吃多少，我只要和相公在一起，便开心了。”莫愁笑嘻嘻的说道。
“你就不怕饿死？”徐福一脸严肃的看着莫愁：“你若是饿死了，我怎么办？”
“我死了之后，相公就再娶一位呗。”莫愁笑嘻嘻的说道。
“胡说，你死了，我怎么办？我可不能和你一起死，我还有我的事要做。”徐福一脸严肃的说道。
“那可不行。相公你可是天下第一高手，你要是死了，这天下可不乱套了。我若是死了，也没关系，反正我本来就不是这个世界的人。”莫愁笑嘻嘻的说道。
“你……你……”徐福指着莫愁，一脸的难以置信：“你你你……”
“相公不必如此，反正我已经答应了要陪相公。”莫愁笑嘻嘻的说道：“相公不用担心我，你只管去做你的事，我不会拖你的后腿的。”
“你真的这么想吗？”徐福一脸严肃的看着莫愁。
“嗯嗯，相公说什么，我就做什么。”莫愁笑嘻嘻的说道：“相公若是想娶别的女人，我也不拦着，反正相公你又不喜欢我。”
“相公你怎么说？”徐福一脸严肃的看着莫愁：“你若是走了，我怎么办？”
“相公，莫愁不想走。”莫愁一脸的委屈：“相公要赶莫愁走，莫愁也不走。”
“你若是不走，我也不拦你。只是，若是以后你后悔了，就不要怪我没有提醒你。”徐福一脸严肃的说道：“若是你真的想走，我也不会拦你。”
“真的？”莫愁一脸的欣喜：“相公，你真的会让我走？”
“当然，我不会强人所难的。”徐福一脸严肃的说道：“你若是真的不想走，我也会把你留下。”
“真的？”莫愁一脸的欣喜：“相公，你真的不会赶我走了？”
“当然不会，你若是想走，我绝对不会拦你。”徐福一脸严肃的说道：“你若是不想走，我也会把你留下。”
“相公，那我们现在去哪？”莫愁一脸的欣喜：“我们去游山玩水好不好？”
“游山玩水？你不怕累吗？”徐福一脸严肃的看着莫愁：“你若是累坏了，我可怎么办？”
“相公，你放心，我不会累坏的。”莫愁一脸的欣喜：“相公，我们现在就出发吧。”
“好，我们现在就出发。”徐福一脸严肃的看着莫愁：“你等我一下，我去准备一下。”
“好的，相公。”莫愁笑嘻嘻的说道。
“你去准备一下。”徐福一脸严肃的看着莫愁：“我去收拾一下东西。”
“好的，相公，等你收拾完了，我们再出发。”莫愁笑嘻嘻的说道。
“相公，你的东西收拾好了吗？”莫愁笑嘻嘻的说道：“我们现在可以出发了吧？”
“好，我们出发。”徐福一脸严肃的看着莫愁：“你等我一下。”
“相公，我等你。”莫愁笑嘻嘻的说道。
“等我一下，我去拿点东西。”徐福一脸严肃的看着莫愁：“我去拿点东西。”
“好，相公你去拿吧。”莫愁笑嘻嘻的说道。
“好了，我们现在出发。”徐福一脸严肃的看着莫愁：“你现在想去哪里？”
“我想去游山玩水。”莫愁笑嘻嘻的说道：“我想去爬山。”
“好，我们现在就出发。”徐福一脸",1
下来。如果九曲军城没有防备，也许能够攻下来。可九曲军城是大宁的边疆重镇，驻军许多，又怎么可能没有防备。,1
"然道：“难道萧后不肯接受官家的条件，又将你赶了出来？”穆羽道：“不是。”
杨浩见他眼神闪动，面有愧色，诧异地道：“那是为何？”穆羽长吸了一口气，低声道：“臣……臣没忍心告诉萧后。”
杨浩双目一睁，惊讶地叫道：“什么？为何？萧后已经对你表明心意了么？”
穆羽缓缓摇头，低声道：“没有。”
杨浩大奇，说道：“萧后不肯与官家和解，那你为何……”穆羽低低地叹道：“臣去上京，原是奉了官家之命，去见萧后的，可是……臣到了上京后，先去见了刘三朵，之后又去了南衙见了阿朵。当官家交给臣国书、私信以及那首诗时，臣心中便一直忐忑不安。可是……可是当臣到了上京后，见了她们姐妹，更不敢去见萧后了。”
杨浩目光一冷，道：“原来你是为了……”穆羽抬起头，急急地道：“不！杨使君误会了，臣并不是为了她们姐妹，臣只是为萧后考虑而已。因为刘三朵告诉了我一切。从萧后娘娘被耶律文殊带走，一直到大宋三万精兵出征，杨使君和萧后娘娘之间的纠葛，刘三朵都说的很详细，包括杨使君在萧后被耶律文殊追捕时对萧后的不闻不问，以及后来杨使君和耶律文殊决斗，逼得萧后不得不回了辽国……”
杨浩目光一黯，转过了头去。穆羽道：“臣虽然愚鲁，但是想来想去，始终不明白杨使君为何如此。萧后本就是个可怜人，被一个不喜欢自己的人纠缠不休，被一个自己不喜欢的人苦苦追求，最终却在她无路可逃，无计可施时，逼着她回到了自己最不愿意去的辽国。杨使君，臣知道，萧后在辽国是受尽了千般苦楚的，即便是在北上途中，萧后娘娘也数次萌生了轻生之意，可是她都没有寻死。为什么？就因为她不想杨使君以为她在北上途中死掉了，她只想回去，然后再设法逃离那个冰冷的牢笼。”
杨浩没有说话，目光有些迷离，他想到萧后被自己所逼迫，无奈地返回辽国，却始终念着自己的生死，不由又有些心酸、又有些愧疚。穆羽道：“当臣知道这些事之后，就决定……不……不能再把官家的意思告诉萧后了。萧后娘娘，太可怜了，官家的那首诗，如果让萧后娘娘看到了，萧后娘娘会承受不住的。”
杨浩沉默片刻，问道：“那刘三朵和阿朵如何？”穆羽微微一笑，道：“阿朵很幸福，刘三朵也找到了自己的意中人。阿朵已经成亲了，成亲时，我还在上京，曾见过阿朵的夫君。阿朵的夫君是大辽的宰相，名叫萧合住，是个很有智慧的人。听刘三朵说，阿朵在辽国时，与宰相一直书信往来，结下了情愫，两人虽然从未见过面，却很能谈得来。后来萧宰相奉了天祚帝之命，出使大宋，恰好与耶律文殊同时出使，两人同住在一个地方，耶律文殊要来提亲时，阿朵正在为难，这时恰好萧宰相回来，见到了她，二人一见如故，当场订下了婚约。我听说，萧宰相是个文人，也颇为萧后娘娘所赏识的。萧后娘娘在辽国，虽然处境艰难，却并没有忘了大宋，她的侍女小桃现在是辽国的内务府总管，辽国的许多重要事情，都是小桃通过萧后娘娘传递给我们的。阿朵的夫君又曾出使过大宋，两人之间书信往来，结下了深厚的情谊，这对萧后娘娘来说，应该是件好事吧。”
杨浩淡淡地道：“这都是好事，对萧后也是好事，那还有什么？”
穆羽道：“阿朵成亲时，我见到了萧合住，当时他要回辽国了，我随他上京为他践行。席间，我们谈起大宋和大辽之间的情形，萧合住告诉我，天祚帝与萧后娘娘的感情，现在已渐渐地好起来了。”
杨浩目光一黯，没有",1
"的丛林（二）
夜色深沉，虫鸣声响，林中处处透出诡异的气氛，让人浑身不舒服。
桑普一行人沉默地走着，没有交谈，只有兵器碰撞的声音和脚步声，与林间的虫鸣形成了一种诡异的节奏。
突然，走在最前面的队长停下了脚步，众人也跟着停下，目光向他投去。
“怎么了？”有人问道。
队长凝视着前方，皱着眉头，说道：“我感觉到了异样。”
“什么异样？”另一个武士问道。
队长沉吟片刻，回答道：“我也不确定，但好像有什么东西在靠近。”
众人听了，顿时紧张起来，纷纷取出武器，准备迎接可能的战斗。
就在这时，一声尖利的兽吼在林间响起，让所有人都吓得一跳。
“是什么？”武士们相互询问着。
队长眉头紧锁，看着前方，说道：“好像是野猪。”
“野猪？”有人惊讶地说道。
“野猪可不是普通的野兽，我们必须小心应对。”队长提醒道。
话音刚落，一只身躯庞大的野猪出现在众人眼前，它的獠牙尖锐，眼神凶狠，看起来十分凶悍。
众人心里一紧，不知道能否应对这头野猪的攻击。
不过，随着战斗的进行，众人才发现，这头野猪的行动有些奇怪，好像是受到了某种力量的控制，变得疯狂无比。
众人纷纷猜测着这股力量的来源，但没有任何人能给出答案。
就在这时，众人身后传来一声轻响，众人回头一看，只见一个伏低于地面的人影跃了起来，稳稳跟住了他们。
众人顿时警觉起来，不知道这个神秘的人影到底是什么来头。
“你是谁？”队长问道。
神秘人影没有回答，只是默默跟着众人前进，仿佛在等待着时机。
众人不禁猜测着他的真实意图，心里十分紧张。
就在这时，一阵狂风吹来，将众人吹散，众人陷入了混乱之中。
当他们重新聚集起来时，神秘人影已经消失了。
众人心里不由得产生了疑问：他到底是谁？他来到这里的目的到底是什么？他的真实身份到底是什么？
这些问题在众人心中回荡，让他们充满了好奇和不安。",1
"们手持飞剑，御剑飞行，来去如电，与天龙教弟子争斗不休。
但在这两方面力量的夹击下，天龙教弟子纷纷被斩于剑下，化为无数碎肉，鲜血染红了大地。
而这时，一名天龙教弟子突然尖叫着，扑向一名峨嵋道士。
“去死吧！你们这些卑鄙的偷袭者！”
这名天龙教弟子口中大骂，双手却不断挥出，一记记火光轰向了峨嵋道士。
峨嵋道士连忙闪避，同时挥剑反击。
“哼，区区火光还想伤我？”峨嵋道士冷哼一声，身形急闪，躲开了火光。
但那名天龙教弟子却不依不饶，再次扑了上来，双手连连挥动，又是一记记火光向峨嵋道士袭去。
峨嵋道士心中暗骂，心想：“真是难缠！”
这时，又有几名天龙教弟子冲了过来，纷纷施展各自招数，向峨嵋道士发起进攻。
峨嵋道士心中大惊，连忙挥剑抵挡。
然而，天龙教弟子们人数众多，而且各个都有特殊的本事，峨嵋道士一时间被逼得手忙脚乱，险象环生。
突然，一名天龙教弟子跃起，一剑向峨嵋道士劈去。
峨嵋道士匆忙举剑格挡，但这一剑力量实在太大，峨嵋道士被震得连退数步，险些跌倒。
天龙教弟子见机不可失，立即趁机攻上来，一剑向峨嵋道士刺去。
峨嵋道士反应不及，被刺中一剑，鲜血顿时流了出来。
天龙教弟子大喜，趁势追击，又是一剑向峨嵋道士砍去。
峨嵋道士急忙闪避，但已经无法躲过这一剑，被砍中肩头，鲜血四溅。
天龙教弟子们纷纷上前，对峨嵋道士展开围攻，同时施展各种招数，想要将峨嵋道士击杀。
而在这时，又有几名天龙教弟子冲了过来，纷纷施展各自招数，向峨嵋道士发起进攻。
峨嵋道士心中大惊，连忙挥剑抵挡。
然而，天龙教弟子们人数众多，而且各个都有特殊的本事，峨嵋道士一时间被逼得手忙脚乱，险象环生。
突然，一名天龙教弟子跃起，一剑向峨嵋道士劈去。
峨嵋道士匆忙举剑格挡，但这一剑力量实在太大，峨嵋道士被震得连退数步，险些跌倒。
天龙教弟子见机不可失，立即趁机攻上来，一剑向峨嵋道士刺去。
峨嵋道士反应不及，被刺中一剑，鲜血顿时流了出来。
天龙教弟子大喜，趁势追击，又是一剑向峨嵋道士砍去。
峨嵋道士急忙闪避，但已经无法躲过这一剑，被砍中肩头，鲜血四溅。
天龙教弟子们纷纷上前，对峨嵋道士展开围攻，同时施展各种招数，想要将峨嵋道士击杀。
峨嵋道士心中大急，连忙运起全身功力，挥剑向天龙教弟子们冲去。
“哼，休想逃脱！”
一名天龙教弟子冷哼一声，一剑向峨嵋道士刺去。
峨嵋道士反应不及，被刺中一剑，鲜血顿时流了出来。
天龙教弟子们纷纷上前，对峨嵋道士展开围攻，同时施展各种招数，想要将峨嵋道士击杀。
峨嵋道士心中大急，连忙运起全身功力，挥剑向天龙教弟子们冲去。
“哼，休想逃脱！”
一名天龙教弟子冷哼一声，一剑向峨嵋道士刺去。
峨嵋道士反应不及，被刺中一剑，鲜血顿时流了出来。
天龙教弟子们纷纷上前，对峨嵋道士展开围攻，同时施展各种招数，想要将峨嵋道士击杀。
峨嵋道士心中大急，连忙运起全身功力，挥剑向天龙教弟子们冲去。
“哼，休想逃脱！”
一名天龙教弟子冷哼一声，一剑向峨嵋道士刺去。
峨嵋道士反应不及，被刺中一剑，鲜血顿时流了出来。
天龙教弟子们纷纷上前，对峨嵋道士展开围攻，同时施展各种招数，想要将峨嵋道士击杀。
峨嵋道士心中大急，连忙运起全身功力，挥剑向天龙教弟子们冲去。
“哼，休想逃脱！”
一名天龙教弟子冷哼一声，一剑向峨嵋道士刺去。
",1
的时代，隋末天下，群雄争霸，赤县神州烽烟四起——从南到北，从西到东，且看刘老三这厮如何建功立业，一步步走向天子宝座。,1
"。所以秦珂等人，只能继续守着无尽之城。
小说节选续写篇章：秦珂等人感到内心焦急，他们知道必须想出一个办法来解决现在的困境，不然他们将无法摆脱魔龙的威胁。于是秦珂召集所有修道者召开紧急会议，寻求解决方案。其中一位修道者提出了一个大胆的计划，他们将利用魔法构建一座高塔来保护无尽之城，让魔法屏障成为无尽之城的安全壁垒。在经过一段时间的紧张施工之后，高塔终于矗立在了无尽之城的中心，魔法屏障也随即成功构建。魔龙看到高塔的出现，似乎也被吓退，再也没有前来攻击无尽之城。众人松了一口气，感到这次行动取得了胜利。但是他们知道，无尽之城的危机仍未完全解除，他们仍需继续努力，才能保护这个家园的安全。",1
"中，正气手印的修炼难度，仅次于剑道十二诀和无上剑诀，位列第三，是绝对的高端武技。

正气手印，可攻可守，威力极强，一旦修炼成功，不仅可以提升攻击力，同时还可以凝聚正气能量，形成一层无形的防护罩，抵御外界攻击。

“想不到，一个入门不到两个月的弟子，竟然修炼成了正气手印。这怎么可能？”阎廷俊喃喃自语，心中满是震撼。

他不知道的是，孟翔之所以能够修炼成正气手印，完全是因为他得到了一块残缺的灵石，借助其内的灵气，才修炼成功的。

“好了，阎师兄，让我们开始吧。”孟翔微微一笑，他并不想浪费时间。",1
