text,target
"，在他肩膀上拍了拍，除了周宣和张蕾两个人，其他人在看到朱杰笑呵呵的样子，绝对会认为朱杰跟周宣是相识多年的好朋友，绝不会想到朱杰会是把周宣拉去准备给一个狠狠的下马威，出一个大大的洋相！
周宣自然是知道，害怕也自然是没有半分害怕，不过瞧见张蕾笑吟吟的表情，这才知道一早她表露出来对朱杰的不高兴的样子都是装的，目的就是要让朱杰出手来试探他，想来她还是在嘀咕刘兴洲对自己“超级警察”的评价吧。
周宣心里急转着，要对付朱杰自然是小菜一碟，但要不露出异能力的形迹，就还得注意一下，不管是极寒的冰气异能，还是极热的太阳烈焰，用哪一个能力，要说不露半点形迹，那还是极有难度的，而朱杰又不像索马里海盗，又或者在国外的时候，对那些人可以任意用异能转化吞噬掉，现在是在国内，而朱杰又是警察，即使对他有任何不满，也只能暗中教训，不能把他弄残弄死。
市局的训练室在六楼，整层分了若干个区，体能训练和搏斗散打室在最里边，警察特警等等的搏斗训练时，就算打得呼天叫地，外面也听不见，也不会有人理，很正常，就是这点好，有怨气，或者关系不好的同事，在外面动手打架会招来记过处理，不过在训练室里就没所谓了，就算受些轻伤，也不会有人过问，只要没出大事，没打死打残，训练受伤，那也是很正常的事。
周宣在大厅里便见到有不少文职女警在注意他们，本来张蕾的话题就很多，漂亮的女人不仅仅是男人注意的目标，也同样是女人注意的目标，不过女人的注意是妒忌而已。几乎是给朱杰挟持而去，一路上，进电梯前后，周宣基本上都没有用力反抗朱杰，任由他拖了往训练室而去。
训练室里有七八个穿着背心的男子在训练，看到朱杰和周宣，张蕾三个人进来后，“哗啦”一声就撒了手中的训练，一起围了过来。
其中还有两个人跑到门边把门关了起来，再用根铁棍顶上，张蕾看得清楚，这七八个男子都是朱杰队里的队员，看来是商量好的，是要给周宣一个狠狠的教训了。
再瞧了瞧周宣，张蕾在周宣眼里没有瞧到一丝半毫的慌乱，人虽然给朱杰拽着，表情却是沉静如常，张蕾心里就有些诧异，周宣还没有一丁点的慌乱，那就只能说明两点，一是周宣是个傻子蠢货，脑子笨，根本不知道朱杰马上就要教训他，给他苦头吃，二就是周宣的确如刘兴洲所说，他是一个超级警察，根本就不把朱杰等人放在眼里。
市局刑警队十几个分队，几乎每个刑警都是能打善斗的，一个人能轻松的对付两三个普通人，而这里，朱杰一起一共有九个人，九个狠手，而周宣只有一个人，无论周宣有多么能打，这个场面都占了下风。
张蕾是警察世家，自小便见多了武术，散打，搏斗等等，一个人能力再强，但要轻松对付八九个训练有素的刑警，那绝不是易事，电影中的那些超绝高手，那只是虚构的，现实中并没有那样的人，所以张蕾其实是不相信个人能力的“超级”一说。
所以张蕾已经认定了周宣此刻只有认输一条路可走，若是现场只有朱杰一个人，张蕾倒不一定会认为周宣就输定，但现在朱杰一起是有九个人，当然，朱杰叫他的手下来是他们见证一下而已，不是让他们动手，但任何人在这样的情况下，都会有一些顾忌，有心理作用，若是把朱杰打狠了，打伤了，他的手下就有可能一涌而上群殴周宣了。",0
"。
胡未心里也不由感慨，这两个大阿罗汉，终究不是他们所能够轻易抗衡的。那巨象轻描淡写的一击，便已使得他们手忙脚乱，看来这一次真当是凶多吉少。
那长鼻巨象上的金甲巨人见胡未和大傻没有回应，便重重地哼了一声，眼神也变冷了下来：“好，不知天高地厚的小蝼蚁，看来你们还不死心，既然你们不识好歹，那我就给你们一个痛快的吧。”
说着，他座下那巨象又是大叫一声，长鼻子再次呼啸着向胡未这边卷了过来。
而几乎同时，胡未便又感觉到浑身沉重，几乎难以移动分毫。
不过就在这时，天地之间突然发出轰的一声巨响，有如雷鸣一般，这声音十分短促，却是响亮无比，比起胡未用吞云珠找出闪电时发出的雷声还要响亮。
胡未他们只觉耳朵里也是轰的一声，在一刹那，似乎连耳朵都被震聋了似的。
而整个世界也随着这声巨象剧烈地颤了一下。
胡未都差点从天空中摔下来。
就连那巨象长鼻也是受此影响，停在了那里。
大家都抬头看向天上。
天空已是变得赤红一色，整个世界都被映照得绯红如血。
几秒钟后，天地之中又是发出一声巨响，整个世界也再次随之剧烈地颤了一下。
而那赤红的天空则是裂开了一道道深红色的巨缝。
胡未不由为之色变。
似乎整个天地都要崩塌了一般。
那两个金甲巨人则是面色复杂，神情严肃，定定地看着天上，似乎都已忘了胡未他们。
又几秒钟，巨响声再起！随后，在那天空裂开的巨缝之中，落下了一个个巨大的火球来，有如陨石降落。
“天塌了？”那大傻则不由喃喃道。
那些巨大的火球疾速坠落，发出呼啸之声，惊天动地。
他们坠落的方向，正是胡未他们这里。
火球越来越近，在胡未他们眼里，这火球也是越来越大。
只怕不用多久，这火球便会坠落至此，但胡未和大傻却再次感到举步艰难，竟是无法逃走。
就连那两个金甲巨人，也是一脸的奇怪，同样没有逃走，似乎也无法逃走一般。
不过片刻，那些巨大的火球已是来到了胡未他们头顶，那巨大的呼啸声几乎都要将胡未他们的耳膜给撕破。
可眼看那些火球就要撞上胡未他们，却是在胡未他们头上几千米处突然停了下来。
有如时间停止。
紧接着，那些火球纷纷抖动了起来，上面熊熊燃烧的火焰则是快速熄灭。
转眼工夫，那些火球上面的火焰已是尽数熄灭。
然后，这些火球竟是变成了一个个形状各异的巨人。
在胡未等惊诧间，一白毛巨人带着其他数百个巨人徐徐降落了下来。
“大罗教的，你们打不过俺，居然来欺负俺孙子，你们真不知羞吗？这一次俺们六百天妖众都来了，有本事跟俺们打啊！”
白毛巨人大声说道，声音洪亮如钟，响彻整个世界。
这白毛巨人身高近十米，身材粗壮魁梧，全身白毛，样貌也跟大傻十分相像，只不过相比大傻，他脸上更多沧桑之态。
“熊罗……”那两个金甲巨人则是咬牙切齿一脸怨毒地喃喃了一声，只是话刚说完，他们却是化成两团金云，疾速逃遁而去。
第四十二章 三天期限",0
"怕的变异，从他的手，开始了……
节选篇章：最后同伴都陆续的死去，只有他、林石、孟波、谷凌霜等人顽强的活了下来，每天做的事就是努力的令自己更强大，寻找食物，然后找机会偷袭那些半黑半白的四阶强者，替死去的大家报仇，这仇恨，不死不休。
而他们这些人，也成为了那些穿着黑白衣服的势力们相当头痛的“余孽”。
此刻，看着苏羽等曾经离去的人突然返回，而且看学校升腾起来的大火，显然，那些盘踞了学校的穿着黑白衣服势力的人应该被他们铲除了，任洪霖心中空荡荡的，反而不知道该是兴奋，激动，还是继续仇恨他们，固而在一边沉默着，不话道该有什么反应。
谷凌霜将昨晚的经过简单的说了一遍，最后，林石、孟波等人重新返回了学校，看着被烈焰笼罩着的深坑，看着里面已经渐渐烧为了灰的上千尸体，林石、孟波、任洪霖皆默默的站那里，一言不发。
这里，聚集了他们的仇恨，现在，这仇恨的根源，随着这一场大火，将一起化为飞灰吗？不——
突然，林石转过身来，看着苏羽和秦家贵等人，单手紧紧的握在了一起。
这一次重逢，看到了林石等人，令苏羽等人最意外的就是林石几人，并不仇恨他们，或者说，全校师生都几乎被杀绝的那些穿着黑白衣服的神秘势力的仇恨面前，对于苏羽等人当初离开学校的一些怨恨，根本不值得一提了。
“林石，孟老师，大家都跟我们走吧，离开这个森林，去我们的村落吧，那里，是很多和我们有着类似经历的人一起聚集起来而建立的，那里有足够的食物，那里有可以安心睡觉可以替我们遮风挡雨的房屋，大家跟我们走吧。”苏羽动情的说着，林石脸上却没有一丝激动的表情，只是盯着苏羽，道：“苏羽，告诉我，你和大家现在的实力怎么样了？”
苏羽一愣，张仲谋道：“我们都是四阶战士，苏羽已经是六阶的强者，林石，你问这个干什么啊？放心吧，我们在一起，不用再怕任何人了。”
林石深深吸了一口气，缓缓道：“听凌霜刚刚说，你们杀了这里的三十多个黑白鬼……可是，你们杀的只是那些家伙的手下，这生命巢内，一千多的生命……都无法安息……因为，他们的怨恨，得不到消解，真正的凶手，依旧还在好好的活着。”
苏羽心头一凛，道：“林石，你的意思是……”
“我的意思很简单，我们现在还活着的理由，也只有一个……那就是替死去的伙伴报仇，不报此仇，誓不为人。”林石嚎叫着，突然冲上了一步，一把紧紧抓住了苏羽，嘶哑叫了起来：“苏羽，我们都只是四阶战士，我们没有那个实力，可是……可是你不一定，从一开始我们出去探路开始，你就和我们大家都不一样，我们做不到的事，你一定可以，求你，求你一定……一定要替大家报仇，一定要报仇……就算牺牲我们的性命，也一定要报仇啊——”
林石嘶声叫着，一双眼睛，都通红了，浑身，都在微微的抖动着。
苏羽怔住了，半晌才紧紧抓住了林石的肩膀，道：“你放心吧，就算你不说，我也会替死去的人报这个仇的，这不是你一个人的仇，是我们所有还活着的人共同的仇。”
秦家贵走上一步，沉声道：“不错，这是我们大家的仇，这个仇，我们是一定要报的。”",0
"目以待！”
“当然，还有就是阿森纳方面也遇到了一点问题，那就是阿森纳队的中场大师法布雷加斯可能因为受伤将不会出现在这场比赛中。法布雷加斯将是阿森纳队的中场核心，他如果不会出场，这对阿森纳队将是很大的影响。不过这也有可能是一个烟雾弹，我们可以在接下来的比赛中看看这究竟是怎么一回事。”
“好的，现在我们已经拿到了双方的首发名单，下面我们来介绍一下双方今天的首发！”天空体育的解说员说道。
“今天曼联队排出的是一个四四一一的阵形，比之前的阵形有些不同了，看来阿莱克斯·弗格森作出了一些改变，不知道曼联队这样的改变能够起到作用呢？”保罗·加斯科因立即说道了。
“在门将的位置上，阿莱克斯·弗格森依旧是选择了本·福斯特，范德萨受伤之后，他一直是曼联队的主力门将。”保罗·加斯科因继续介绍着，“四后卫没有什么变化，分别是埃弗拉、乔纳森·埃文斯、内马尼亚·维迪奇和巴西边后卫拉斐尔。”
“四周中同样没有太多的变化，葡萄牙门将纳尼、卡里克、安德森和球队队长吉格斯。”保罗·加斯科因如此说道，“变化在锋线，这下，龚政并没有和鲁尼两人并排了，而是鲁尼站在了龚政的身后，成为前腰。”续篇：“介绍完了曼联队的首发阵容，我们就来介绍一下阿森纳队今天的首发名单。”天空体育的解说员接过了保罗·加斯科因的话，立即说道。
“今天阿森纳队的阵形没有任何的变化，依旧是四三三。”天空体育的解说员立即说道，“门将位置上是主力门将阿穆尼亚，后卫线上也没有变化，依旧是克利希、维尔马伦、加拉和萨尼亚四个人。”
“三中场依旧没有变化，依旧是德尼尔森、法布雷加斯和亚历山大·宋！”天空体育的解说员立即说道，“三前锋分别是阿尔沙文、范佩西和卡洛斯·爱德华多。”
“哦，该死的法国佬，他竟然放出烟雾弹。”天空体育的解说员看到双方的首发名单后，立即转头对着保罗·加斯科因说道，“法布雷加斯根本就没有受伤，看来这个狡猾的法国人在上一场比赛的时候，就已经想好了这个对策的，要不然他不会在上场比赛提前将法布雷加斯换下的，该死，该死的法国佬……”
第四十七章 开门见红，先声夺人
就在天空体育的解说员在介绍双方球员的首发名单的时候，双方的球员已经在球场内站好了位置，正在等待着比赛的开始呢。而且现在的大频幕上也正显示着双方本场比赛的首发名单，双方的球迷则是在看台疯狂地欢呼，迎接着本场比赛的到来。
赛前两队的经理在球员通道内相遇，两人相视一笑，握手分别，各自板着脸走向了教练席，关注这场比赛。",0
"线外设五个投篮点，利用普通篮球和彩球分别计分，普通球计一分，彩球则计两分。
每名球员将会有1分钟的时间完成投篮。在决赛当中将会由第一轮得分低的球员先进行投篮比赛，得分高的球员后投，最后计总分确定谁将获得三分远投大赛冠军。
很多人对卡波诺抱有很大的期望但是事实很残酷，天王诺维斯基以一分的优势击败了卡波诺，成为三分王，让很多人希望再次见到三分三连冠的希望落空。
这个全明星大家都过的很开心，当然所有人都知道最重要的事情马上就要来临，全明星正赛马上开始，本次最大的看点就是全明星大赛东西部的胜利已经全明星MVP的归属。
要知道在全明星之前，波什已经对外界夸下开口。他说詹姆斯一定能带领东部取胜，并且得到全场最佳，也就是获得全明星赛的MVP。
西部有谁？当初联手把迈克尔·乔丹的退役仪式给毁了的两个家伙，科比和艾弗森，两个96年的超级明星当即反击。他说西部一定会胜利，这些东西都会即将到来的正赛填满了未知数。
第十章 决战时刻
全明星正赛在万众瞩目中开赛，本就是人气最高的比赛又经过詹姆斯和艾弗森以及科比之间炒作，就更加值得人期待了。果然，比赛从一开始就展现出不一样的味道。
当然西部这些人要不就是老家伙了，要么是罗伊、加索尔这种低调的人，很平淡的出场，一个个面带微笑虽然平淡，但是也带着一番不一样的滋味。这么多大牌，仅仅是出场就让观众的情绪达到了高潮。而东部就更不用说了，因为有詹姆斯和霍华德这两个活宝，所以他们的出场就更有意思了。詹姆斯在场地中央来了一段不伦不类的机械舞，后面后詹姆斯已经波什等人气哄，现场的气氛再次达到一个巅峰。
比赛正式开始，东部的魔兽霍华德帮东部取得球权，本来全明星大赛上半场是公认的先玩，然后大家在真刀真枪的玩下半场。但是由于科比、艾弗森和詹姆斯、波什的斗嘴在线先，所以比赛从一开始就进入了不一样的气氛中。
詹姆斯一开始就持球一路飞奔，没有人愿意在全明星大赛上把自己给弄伤了，所以西部队和詹姆斯对位的安东尼闪了，后面也没有补防的人，但是这说的可不包括科比和艾弗森这两个视胜利为生命的家伙。
艾弗森神出鬼没的出现在詹姆斯的右侧，等到詹姆斯抬手想要扣篮的时候，艾弗森眼疾手快直接把篮球给切了下来。然后快速的一个长传。那边科比那就快下了，接到传球就是一个暴扣。
两个人天生不对付，同为96年的代表人物他们却没有詹姆斯、韦德之间那么好的感情。几乎每一次交手都要斗个你死我活。但是在面对别人的时候，两个人却出奇的团结。比如当初的迈克尔·乔丹！
当初他们破坏了乔帮主的退役仪式，而今，两个不在年轻的家伙又要阻止一个后进的家伙上位，这是要活生生的破坏点詹姆斯的登基仪式啊！不止这一场比赛，只要他们还在这个联盟，他们就不会放弃！
上来就是一个失误，换做谁都不会高兴，更不用说是天之骄子詹姆斯了。伸手要球，这边老家伙基德，乐得看这些“小孩”闹，立刻把球穿了过去。然后自己远远的拉开，看詹姆斯单打。",0
"章 江上遇阻
老掌柜哦地一声，捻着须子思索道：“顾客的信息一般是不能泄露的，不过……段大人与我们宝大祥关系不浅，而且这是为了查案，想必东主也不会责怪，这样吧，我立刻派人去查一查几年前的账目，我们宝大祥做的是珠宝生意，匕首之类的比较少见，应该很快就能查到具体条目，然后再派人前往分店将具体的账目和证人请回应天交给段大人，你看如何？”
石斌想了想，说道：“我家大人不日就要前往苏州，你们若是查到了，便将人和证物都送到苏州宝大祥去，大人到了苏州就会派人去苏州宝大祥取的。”
老掌柜答应了，石斌见办完事就要告辞，老掌柜忙道：“请小哥回禀段大人，段大人交代的事情我们宝大祥一定照办，另外，大人若是有闲空，我家东主今晚可否亲自上门拜会？”
石斌想了想，说道：“今天怕是没时间了，我家大人知会了应天的大大小小官员之后就要立刻启程前往江南道巡查，你们老板要见我家大人的话，不妨先去苏州等着吧。”
段府一改开始办理周安一案以来的萧条与颓然，门前人来车往，都是应天府的大小官员，段府的家丁仆妇丫鬟们的脸上都洋溢着欢欣与喜悦，自家的老爷又高升了，水涨船高，他们这些下人走到街上也能扬眉吐气，至少比前阵子受委屈的情况好得多。续篇：段飞却对这些络绎不绝上门拜访的官员们烦不胜烦，他的心早已飞到了扬州，不知道现在那边的情况怎么样了，蓉儿没有做出什么傻事吧？
段飞耐着性子接待应天府三品以上的官员，至于更低一些的，直接让管家收了拜帖，退回礼金礼品，就这么打发了。
有时遇到一些话比较多的，段飞真想直接一脚把他踢出去，然而他却不能这么做，只能伺机端茶送客，好不容易终于清静下来，段飞将茶杯一放，揉揉已经僵硬的脸，说道：“石斌，去请华明华大人，准备启程！”
在码头登上驿所的蜈蚣快船，段飞一行顺流而下，向扬州而去……
“大人，我们先去扬州？”华明等船走得平稳了，这才踱到段飞身边，疑惑地问道。
段飞心急火燎地站在船头，任由晚风吹拂自己的脸，听到华明的问话，他转头对华明说道：“华大人，本官先去扬州是为了另一个案子，有两位曾经与我一起血战倭寇的好兄弟因为某些缘故，明天就要开刀问斩，我无力拯救他们，本来心灰若死，现在有了机会，为防意外，自然要连夜赶过去。”
华明恍然点点头，说道：“段大人说的是海安镇那一役吧？我听人说过，不知那两人所犯何罪？为何被判斩刑？段大人可要小心，莫要被人抓到了把柄。”
段飞说道：“此事说来话长，那两人因杀人罪被判斩刑，然而实际上他们杀的都是倭寇，只是因为一些历史原因从而被定罪，这次去我就是要揭开真相，还他们清白！”
“原来如此。”华明说道：“不过大人还是得小心，不能授人以柄，若是出了什么事，皇上也不好太过维护，这是皇上的原话。”
段飞点点头，说道：“我明白了，我不会给他们机会的。”",0
"下手为强，把他弄死算了。”
李耀庭吓了一大跳，心说哥哥还是你狠，上海三大亨之一，你说弄死就弄死，当张啸林是一般小瘪三啊，不过想想自己也得罪了张啸林，不把他除了，以后肯定处处和自己作对，这日子是没法过的。
“好，给我几天时间，探探张啸林的行踪，争取一次办挺他。”李耀庭发狠道。
陈子锟道：“还有一件大事，你帮着鉴冰办一下。”
……
三天以后，慕易辰就办好了注册文书，美国春田洋行，办公地点设在沙逊大厦，他的办事效率得到陈子锟的赞赏，又批给他五千大洋用作办公费用，购买桌椅，招聘文员，尽快把洋行的架子搭起来。
慕易辰信心满满的去了，李耀庭紧跟着进来，向陈子锟低语了几句。
“召集人马，把家伙都带上。”陈子锟杀气凛然。
上回事情之后，张啸林极为恼怒，赌咒发誓要找回这个场子，可陈子锟一直藏在公共租界不好下手，只好筹划等他离沪之时再行动手，杀手和武器已经安排好了，万事俱备只欠东风。
张老板和大多数上海滩白相人一样，过着上午皮包水，下午水包皮的惬意生活，茶馆和浴室是他最经常去的地方，因为张啸林住在法租界，那些包打听、巡捕都是他的弟子门生，安全问题不用担忧，只是近日为了防范仇家，出来进去都坐挂了车帘的汽车，还特地带了四个荷枪实弹的保镖以防万一。这天张啸林准备出去和朋友谈生意，忽然家里夫人跟姨太太拌起嘴来，惹得他大发雷霆，请出家法管教妻妾，让司机先去将那位朋友接到茶馆。
汽车从张公馆开出，行至法租界霞飞路之时，忽然两边店铺内冲出几条大汉，手中机关枪吐着长长的火舌，子弹如同雨点一般打在汽车身上，顿时千疮百孔，侧翻到路边，大汉们依然不罢休，将剩下的子弹全部倾泻到汽车上才扬长而去。
等安南巡捕吹着警笛赶过来的时候，这辆德国梅赛德斯轿车已经被打成了筛子，司机身中十余弹当场死亡，幸运的是车上并无其他乘客，要不然肯定难逃一死。
巡捕们从车牌号码上认出这是张啸林张老板的座驾，立刻飞报上司，法租界警务处最吃得开的是政治部的组长程子卿，他本身就是青帮弟子，和这些江湖大佬都熟，得知张啸林的座驾被伏击，立刻赶到现场略微查看一番，心里便有了数。
这可不是寻常黑道的手笔，上海滩帮派云集，私斗火并是家常便饭，但多以冷兵器砍杀或者当街一枪毙命了事，可根据现场遗留的弹壳来看，足足打了二百多发子弹，这哪是暗杀啊，这是打仗。
被打成马蜂窝的是张啸林的座车，如今的江湖，谁敢和张老板叫板！再联想到最近张老板在聚宝茶楼走麦城的事情，凶手是谁便呼之欲出了。
程子卿赶到张公馆，亲自向张啸林通报了案情，张啸林一听，冷汗都下来了，自己还没动手，人家就先下手为强了，要不是因为妻妾吵嘴，明年今日就是自己的周年了。
“子卿，我知道这事儿是谁做的，此仇不报枉为人！”张啸林咬牙切齿道。",0
"，耽误了片刻，客人来了，你怎么不去陪同，反正独自玩耍？”
“没有呀。”李翩跹笑盈盈道：“阿娘与师姐在煮茶，我在给她们收集雪花。”
“好啊，融雪为水，十分纯净，用来煮茶，味道清香，回味无穷，不过雪冷，不要伤了自己的小手。”李靖笑道，摸摸李翩跹的小脑袋，表示鼓励。
“没事。”李翩跹雀跃道：“我缠布了……”
“翩跹，雪够了，茶汤准备好了，快些过来，阿娘教你分茶。”张氏笑道，看了眼李靖，发现他目光如常，轻轻点头，心中随之安稳。
“真的，我要学凤点头……”李翩跹欣喜而去。
李靖微笑，走到亭子之中，这个时候，李德奖哪里还有对弈的心情，直接弃子，迎李靖坐下，小声问道：“父亲，马周前来，是何居心？”
“不要胡乱猜测，人家不过是奉公行事罢了。”李靖淡然说道：“清者自清，浊者自浊，事情总有真相大白，水落石出那天，陛下乃是圣明天子，明察秋毫，只要问心无愧，没有什么可担心的。”
“父亲光明磊落，可是架不住有人阴险狡诈，诬蔑陷害，蒙蔽圣听，要是陛下一时糊涂，听信了谗言，那个时候，李家……”李德奖忧心忡忡，忽然意识到韩瑞在旁，连忙止声。
“德奖兄放心，公道自在人心。”韩瑞说道：“陛下与朝中大臣，相信李公的品行，绝对不会做出谋逆之事，再过不久，必然会还李公清白。”“希望如此。”李德奖默默不语。
适时，李翩跹招着白嫩的小的，娇声道：“耶耶、二哥、韩公子，清香美味的茶汤已经分好了，快些过来品尝。”
听到清脆悦耳的声音，亭中颇有几分沉闷的气息，顿时一扫而空，三人立即露出笑容，欣然而去，列席而坐，各自捧着了茶汤，轻抿了口，唇齿留香，洗涤心尘。
“不要忘记了，其中也有我的功劳哦。”李翩跹邀功似的说道。
众人轻笑，随之自然不吝于赞美之词，夸赞连连，李翩跹眉开眼笑，月牙似的清澈眼眸透出盈盈光泽，突然，好像想起什么事情，立即笑嘻嘻道：“对了，韩公子，刚才说要给我写诗的……”
众人看来，韩瑞一眨眼，目光游移，却见园子之中，植有几株青松，文思立时泉涌而来，清声吟诵道：“大雪压青松，青松挺且直，要知松高洁，待到雪化时。”
呃，李翩跹的眼眸，掠过几分迷糊，不明白松树与自己有什么关系，可是其他人却心知肚明，这首诗是赠给李靖的。
“冬天到了，春天也不远了。”韩瑞微笑说道：“春光明媚，冰雪自然消融，那个时候，翩跹娘子就能出门踏青游玩了。”
“真的，我要上骊山。”李翩跹发现自己有些激动，吐了粉嫩的小舌，小脸微红，羞涩说道：“人家好久没有去看望师父她们了，有点儿想念。”
目光掠过歉意与怜爱，李靖慈祥笑道：“怎么不说，过几天有空，让二哥陪你前去。”
下意识的看向张氏，见母亲没有反对之后，李翩跹小脸笑容灿烂，欢呼雀跃道：“谢谢耶耶，谢谢阿娘，谢谢二哥……”",0
"道：“你的琴声比他美得多！”
苏青青摇头不止，孰好孰坏，根本不必说，萧月生的琴艺，已是宗师之境，自己自叹弗如。
“可惜，萧月生一直推脱，不想教我！”苏青青闷闷不乐，轻轻叹息一声。
宋梦君轻哼道：“你是拜错了菩萨，直接跟他说，自然不成，且去求萧夫人！”
苏青青一怔，明眸转了转，笑意慢慢弥漫开来。
恰在此时，她若有所觉，腾的起身，来到窗前，推窗往外望去，两艘画肪破浪而来，气势汹汹。
“嗯——？！”宋梦君来到她身后，见此情形，黛眉皱起，脸庞变得冷若冰霜，煞气涌上眉梢。
“宋姐姐，大事不妙，是我爹爹的人！”苏青青转头对宋梦君道，秀脸凝重，如临大敌。
宋梦君长松了口气，露出笑意，抿嘴道：“你爹爹打听到你在这里，前来看望你罢？”
“他——？”苏青青脸色却越发难看，摇头苦笑：“……他可不会来看我！”
“怎么啦？”宋梦君见她脸色不对，大感诧异。
“爹爹是派人来逮我回去！”苏青青苦笑道。
宋梦君怔了一下，随即笑道：“也是，这么久不见，他怕是也想你这个女儿啦！”
见苏青青丝毫没有喜意，宋梦君终于发觉了不对劲，神色一正，声音放缓，轻声道：“究竟怎么回事？”
“爹爹家法森严，逮然回去，定要打断我的腿！”苏青青脸色微微苍白。“嗯——？！”宋梦君皱起黛眉，看了看她，哼声道：“你爹爹会那般狠心？！”
“家法大于人情，爹爹向来如此！”苏青青勉强一笑。
宋梦君默然，稍一沉吟，微微点头。
她身为一帮之主，无规矩不成方圆，这个道理，她体会最深，帮规森严无情，即使再亲近之人，犯了帮规，也无例外，如此，方能服众。
江南苏家，乃是武林世家，若是没有森严的家法，很难管束得住这些人物。
两艘画肪来得极快，她们说话的功夫，已经靠上来，小香自外面钻进来，面色惊惶，急声道：“小姐，老爷的人过来啦！”
“小香，莫慌，你乘小舟，去找江妹妹！”苏青青反而变得沉着，慢慢说道。
见小姐这般沉得住气，小香心下稍安，用力点头：“嗯，我就去，一定会找到江小姐的！”
说罢，她一扭柳腰，挑帘钻了出去。
“走，苏妹妹，咱们将他们打回去！”宋梦君轻哼道。
既然苏青青不能跟他们回去，宋梦君自不会客气，也不去多想，将他们赶走便是！
画肪靠了上来，自画肪里涌出来一群身形瘦削的汉子，穿着蓝色长衫，多是二三十来岁，站在船头，自有一股凛凛威风。
“见过小姐！”众人抱拳，齐齐喝道。
他们皆身怀内功，这般齐声一喝，声势惊人，西湖之水仿佛都泛起了涟漪。
苏青青挑帘出来，站在画肪船头，一阵清风拂来，月白的衣袂款款飘动。
“你们来做甚？！”苏青青秀脸清冷，冷冰冰的道，透出一股颐气指使的气度。
站在画肪上的众人让开一条道，从后面慢慢走出一个身着紫色长衫的中年男子。",0
"敌人，却从不放弃，进行着刻苦的修炼！
弱肉强食的法则，武者为尊的世界，为守护，为尊严，为荣耀，看一个性格坚韧的少年如何一步步踏上大陆的巅峰！
节选篇章：而此时，叶清瑶也是立即一声冷喝响起！
“大命运术！”
叶清瑶冷喝一声，整个清冷的身躯突然一下子燃烧了起来。生出了熊熊圣火！随后这圣火立即熄灭而在这一瞬之间，叶清瑶整个人的实力确实猛然得到了极大的提升！
道道仙气在叶清瑶身上涌了出来，迅速将叶清瑶包裹住，磅礴浩瀚的气势在叶清瑶身体内迸发而出，而叶清瑶也是立即一掌向着那南华大帝拍了过去！
叶清瑶这一掌拍了出去，无数仙力立即喷涌而出，让得面前整个空间立即扭曲了起来！而这庞大澎湃的能量立即轰击在了南华大帝的攻势之上！
轰隆！
一声巨响顿时响彻了起来！而此时，被叶清瑶这道仙力一击，南华大帝顿时整个身躯一颤！整个人瞬间倒飞了出去，猛然狂吐了一口鲜血！
被叶清瑶那一掌仙力所击，南华大帝脸色立即变得无比苍白了起来！随即抬起头来看向了叶清瑶，一脸的震惊之色！
“大命运术！你竟然掌握了这样的仙术！难怪你能够从下界来到仙界！可是，这样的代价你觉得值吗？”
南华大帝看着叶清瑶一脸的难以置信之色。这大命运术可是极其强大的仙术，玄奥无比，根本不是一般的仙人能够修炼的。就算是仙君级别的强者，也未必能够使用！但是他万万没有想到，这叶清瑶竟然能够掌控大命运术！
现在叶清瑶施展出大命运术，表现出了极其强大的实力，此时此刻，实力之强大，却根本不是南华大帝这尊小小的凡仙可以对付的！
叶清瑶冷冷收回了手掌，而此时冷冷一笑，也没有理睬南华大帝！随即叶清瑶转过身去，看向了秦暮！“走吧，秦暮，这仙界并不是你现在能够呆的地方！你还是随我一起回到下界之中去吧！等到渡劫成仙之后，仙界之中，总有属于你的一番天下！”
叶清瑶说完，向着秦暮使了一个眼色。
秦暮此时心里头一头雾水，不过他现在也知道，自己这点实力根本无法在这仙界生存！光是一个小小的南华大帝自己就不是的对手了，何况那些更厉害的仙君！
秦暮冷冷地看了南华大帝一眼，随即转身跟在了叶清瑶身后！
叶清瑶轻轻一挥手，而此时，在面前的虚空之中，一道无形的仙门立即出现在了面前！随即叶清瑶当先一跨，整个人立即进入了那仙门之中！
而秦暮也不犹豫，马上跟着钻入了仙门之中！
南华大帝不甘心的看着秦暮和叶清瑶离去，但是却没有再动手！
没想到清瑶圣女在下落下界之后，竟然还能够施展大命运术！这大命运术，可是真正逆转大道规则，掌控命运的仙术，拥有这大命运术，南华大帝这小小的凡仙实力还真不是叶清瑶的对手！
南华大帝闭上了眼睛，而此时，立刻做了下来，开始静静调息！进行养伤！刚刚虽然只是挨了叶清瑶一击，但是却给南华大帝的晶体仙躯造成了巨大的伤害！南华大帝需要好好调养，好彻底恢复过来！
经过了半个时辰的调息，南华大帝睁开眼站了起来，此时经过调息，他的伤势已经恢复了大半！
“玄黄仙王已经出现，他在下界的转世之人便是秦暮！我一定要将这个消息尽快禀告东荒仙君才行！”
南华大帝眼里闪过一丝阴险之色，随即身影一动，立即向着东荒界的另一个方向飞掠了过去！很快，人影便化成了一道流光消失在了视线之中！
第307章 古神南华羽",0
